Panels,Depth (m),"Chord (T, C)",Chord Shape (SI),"Web (T, C)",Web Shape (SI),Total Mass (kg)
12,0.8,"121.9kN, 122.0kN",2L51X51X4.8,"43.2kN, 43.2kN",2L51X51X3.2,409.79
14,0.7,"139.3kN, 139.4kN",2L51X51X4.8,"43.0kN, 43.0kN",2L51X51X3.2,410.76
18,0.6,"162.5kN, 162.6kN",2L51X51X4.8,"40.7kN, 40.7kN",2L51X51X3.2,417.63
16,0.7,"139.3kN, 139.4kN",2L51X51X4.8,"39.4kN, 39.4kN",2L51X51X3.2,421.1
14,0.8,"121.9kN, 122.0kN",2L51X51X4.8,"39.0kN, 39.0kN",2L51X51X3.2,421.58
20,0.6,"162.5kN, 162.6kN",2L51X51X4.8,"38.0kN, 38.0kN",2L51X51X3.2,426.66
18,0.7,"139.3kN, 139.4kN",2L51X51X4.8,"36.6kN, 36.6kN",2L51X51X3.2,431.73
16,0.8,"121.9kN, 121.9kN",2L51X51X4.8,"35.9kN, 35.9kN",2L51X51X3.2,433.75
12,0.6,"162.5kN, 162.6kN",2L64X51X4.8LLBB,"54.5kN, 54.5kN",2L51X51X3.2,435.25
16,0.5,"195.0kN, 195.1kN",2L64X51X4.8LLBB,"51.0kN, 51.0kN",2L51X51X3.2,440.26
20,0.7,"139.3kN, 139.3kN",2L51X51X4.8,"34.4kN, 34.4kN",2L51X51X3.2,442.63
14,0.6,"162.5kN, 162.6kN",2L64X51X4.8LLBB,"48.6kN, 48.6kN",2L51X51X3.2,443.54
12,0.7,"139.3kN, 139.4kN",2L64X51X4.8LLBB,"47.9kN, 47.9kN",2L51X51X3.2,444.02
18,0.8,"121.9kN, 121.9kN",2L51X51X4.8,"33.6kN, 33.6kN",2L51X51X3.2,446.27
18,0.5,"195.0kN, 195.1kN",2L64X51X4.8LLBB,"46.7kN, 46.7kN",2L51X51X3.2,447.3
16,0.6,"162.5kN, 162.6kN",2L64X51X4.8LLBB,"44.1kN, 44.1kN",2L51X51X3.2,452.09
20,0.5,"195.0kN, 195.1kN",2L64X51X4.8LLBB,"43.4kN, 43.4kN",2L51X51X3.2,454.52
20,0.8,"121.9kN, 121.9kN",2L51X51X4.8,"31.8kN, 31.8kN",2L51X51X3.2,459.08
14,0.5,"195.0kN, 195.1kN",2L64X64X4.8,"56.5kN, 56.5kN",2L51X51X3.2,462.26
14,0.4,"243.7kN, 243.8kN",2L76X64X4.8LLBB,"68.8kN, 68.8kN",2L51X51X3.2,488.59
12,0.5,"195.0kN, 195.1kN",2L76X64X4.8LLBB,"63.8kN, 63.8kN",2L51X51X3.2,491.67
16,0.4,"243.7kN, 243.8kN",2L76X64X4.8LLBB,"61.7kN, 61.7kN",2L51X51X3.2,493.82
18,0.4,"243.7kN, 243.8kN",2L76X64X4.8LLBB,"56.1kN, 56.1kN",2L51X51X3.2,499.19
20,0.4,"243.7kN, 243.8kN",2L76X64X4.8LLBB,"51.7kN, 51.7kN",2L51X51X3.2,504.68
12,0.4,"243.7kN, 243.8kN",2L76X76X4.8,"78.1kN, 78.1kN",2L51X51X3.2,512.35
